day,day_of_week,discount_p0,discount_p1,discount_p2,discount_p3,discount_p4,discount_p5,discount_p6,discount_p7,discount_p8,discount_p9,discount_p10,discount_p11,discount_p12,discount_p13,discount_p14,units_sold_p0,units_sold_p1,units_sold_p2,units_sold_p3,units_sold_p4,units_sold_p5,units_sold_p6,units_sold_p7,units_sold_p8,units_sold_p9,units_sold_p10,units_sold_p11,units_sold_p12,units_sold_p13,units_sold_p14,inventory_p0,inventory_p1,inventory_p2,inventory_p3,inventory_p4,inventory_p5,inventory_p6,inventory_p7,inventory_p8,inventory_p9,inventory_p10,inventory_p11,inventory_p12,inventory_p13,inventory_p14,revenue_p0,revenue_p1,revenue_p2,revenue_p3,revenue_p4,revenue_p5,revenue_p6,revenue_p7,revenue_p8,revenue_p9,revenue_p10,revenue_p11,revenue_p12,revenue_p13,revenue_p14,discount_cost_p0,discount_cost_p1,discount_cost_p2,discount_cost_p3,discount_cost_p4,discount_cost_p5,discount_cost_p6,discount_cost_p7,discount_cost_p8,discount_cost_p9,discount_cost_p10,discount_cost_p11,discount_cost_p12,discount_cost_p13,discount_cost_p14,total_revenue,total_margin,total_discount_cost,budget_remaining,time_remaining,reward
10,3,0.5,0.1,0.5,0.1,0.2,0.3,0.0,0.2,0.2,0.0,0.0,0.3,0.2,0.2,0.2,48,0,24,5,5,10,0,18,0,0,0,19,10,12,0,54,63,2,130,87,95,1,51,1,0,0,137,182,52,1,108.0,0.0,72.0,24.75,16.0,24.499999999999996,0.0,115.2,0.0,0.0,0.0,79.79999999999998,32.0,67.2,0.0,108.0,0.0,72.0,2.749999999999999,3.999999999999999,10.500000000000004,0.0,28.799999999999994,0.0,0.0,0.0,34.20000000000002,7.999999999999998,16.799999999999994,0.0,539.45,143.84999999999997,285.05,-1312.7500000000002,19,143.84999999999997
11,4,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.5,0.2,32,3,1,5,2,0,0,20,0,0,0,17,0,40,0,22,60,1,125,85,95,1,31,1,0,0,120,182,12,1,72.0,13.5,6.0,24.75,8.0,0.0,0.0,112.0,0.0,0.0,0.0,71.39999999999999,0.0,140.0,0.0,72.0,1.5,0.0,2.749999999999999,0.0,0.0,0.0,48.00000000000001,0.0,0.0,0.0,30.600000000000012,0.0,140.0,0.0,447.65,81.24999999999999,294.85,-1607.6000000000004,18,81.24999999999999
12,5,0.5,0.0,0.2,0.3,0.2,0.2,0.0,0.1,0.1,0.0,0.0,0.3,0.3,0.1,0.5,22,9,0,34,8,10,0,11,0,0,0,50,27,9,0,0,51,1,91,77,85,1,20,1,0,0,70,155,3,1,49.5,45.0,0.0,130.89999999999998,25.6,28.000000000000004,0.0,79.2,0.0,0.0,0.0,209.99999999999997,75.6,56.699999999999996,0.0,49.5,0.0,0.0,56.10000000000001,6.399999999999999,6.999999999999997,0.0,8.799999999999997,0.0,0.0,0.0,90.00000000000003,32.400000000000006,6.300000000000002,0.0,700.5,282.99999999999994,256.5,-1864.1000000000004,17,282.99999999999994
13,6,0.0,0.1,0.0,0.1,0.5,0.1,0.5,0.2,0.3,0.0,0.0,0.3,0.5,0.1,0.3,0,6,1,8,69,6,0,17,0,0,0,30,71,2,0,0,45,0,83,8,79,1,3,1,0,0,40,84,1,1,0.0,27.0,6.0,39.6,138.0,18.9,0.0,108.80000000000001,0.0,0.0,0.0,125.99999999999997,142.0,12.6,0.0,0.0,3.0,0.0,4.399999999999999,138.0,2.1000000000000005,0.0,27.199999999999996,0.0,0.0,0.0,54.00000000000002,142.0,1.4000000000000004,0.0,618.9000000000001,187.9,372.1,-2236.2000000000003,16,187.9
14,0,0.0,0.3,0.0,0.2,0.3,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.3,0.1,0.3,0,19,0,8,7,3,0,2,1,0,0,11,23,0,0,0,26,0,75,1,76,1,1,0,0,0,29,61,1,1,0.0,66.5,0.0,35.2,19.599999999999998,9.45,0.0,16.0,7.6000000000000005,0.0,0.0,52.80000000000001,64.39999999999999,0.0,0.0,0.0,28.5,0.0,8.799999999999997,8.400000000000002,1.0500000000000003,0.0,0.0,1.8999999999999995,0.0,0.0,13.199999999999992,27.600000000000005,0.0,0.0,271.55,111.05000000000001,89.45,-2325.65,15,111.05000000000001
15,1,0.0,0.5,0.0,0.2,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.3,0,26,0,15,0,13,1,0,0,0,0,29,13,0,0,0,0,0,60,1,63,0,1,0,0,0,0,48,1,1,0.0,65.0,0.0,66.0,0.0,36.400000000000006,6.0,0.0,0.0,0.0,0.0,121.79999999999998,41.6,0.0,0.0,0.0,65.0,0.0,16.499999999999993,0.0,9.099999999999996,6.0,0.0,0.0,0.0,0.0,52.20000000000002,10.399999999999999,0.0,0.0,336.8,123.3,159.20000000000002,-2484.85,14,123.3
16,2,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0,0,0,57,0,3,0,1,0,0,0,0,1,0,0,0,0,0,3,1,60,0,0,0,0,0,0,47,1,1,0.0,0.0,0.0,219.45,0.0,10.5,0.0,6.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,94.05000000000003,0.0,0.0,0.0,1.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.35,116.44999999999999,95.65000000000002,-2580.5,13,116.44999999999999
17,3,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0,0,0,2,0,58,0,0,0,0,0,0,18,0,0,0,0,0,1,1,2,0,0,0,0,0,0,29,1,1,0.0,0.0,0.0,11.0,0.0,142.1,0.0,0.0,0.0,0.0,0.0,0.0,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.90000000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999998,0.0,0.0,217.89999999999998,111.9,68.10000000000001,-2648.6,12,111.9
18,4,0.0,0.0,0.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,75.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,32.400000000000006,0.0,0.0,78.39999999999999,28.599999999999994,33.10000000000001,-2681.7,11,28.599999999999994
19,5,0.0,0.0,0.0,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999998,0.0,0.0,3.2,1.4000000000000001,0.7999999999999998,-2682.5,10,1.4000000000000001
20,6,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2682.5,9,0.0
21,0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999999999993,6.800000000000001,2.8000000000000007,1.6999999999999993,-2684.2,8,2.8000000000000007
22,1,0.0,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2684.2,7,0.0
23,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.800000000000001,1.8000000000000003,2.6999999999999997,-2686.8999999999996,6,1.8000000000000003
24,3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000002,0.0,9.05,3.55,3.45,-2690.3499999999995,5,3.55
25,4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.1,0.3999999999999999,-2690.7499999999995,4,2.1
26,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2690.7499999999995,3,0.0
27,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2690.7499999999995,2,0.0
28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2690.7499999999995,1,0.0
29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2690.7499999999995,0,0.0
